GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xisnove,br.usp.larc.Benchmark,Benchmarks,353,0,22,0,72,0,21,0,10,0
xisnove,br.usp.larc.Benchmark,BenchmarkInstrumented1000,25030,0,3200,0,4010,0,1603,0,3,0
xisnove,br.usp.larc.Benchmark,Methods,329,0,80,0,96,0,57,0,15,0
xisnove,br.usp.larc.Benchmark,Benchmark1000,10430,0,2000,0,3010,0,1003,0,3,0
xisnove,br.usp.larc.Benchmark,Benchmark100,1070,0,200,0,310,0,103,0,3,0
xisnove,br.usp.larc.Benchmark,Benchmark10,134,0,20,0,40,0,13,0,3,0
xisnove,br.usp.larc.Benchmark,BenchmarkInstrumented100,2530,0,320,0,410,0,163,0,3,0
xisnove,br.usp.larc.Benchmark,BenchmarkInstrumented10,280,0,32,0,50,0,19,0,3,0
xisnove,br.usp.larc,App,4,0,0,0,2,0,1,0,1,0
xisnove,br.usp.larc.Modifier,LogFile,153,0,0,0,29,0,4,0,4,0
xisnove,br.usp.larc.Modifier,AstFindAllConditionalModifier.new ModifierVisitor() {...},176,0,16,0,30,0,12,0,4,0
xisnove,br.usp.larc.Modifier,AstFindAllConditionalModifier,461,0,34,0,101,0,26,0,9,0
xisnove,br.usp.larc.Modifier,FlaggedConditions,130,0,6,0,25,0,6,0,3,0
